,reaction,relation
0,[H]C1C([H])C(N([H])C(O)N([H])C2C([H])C(Cl)C(Cl)C([H])C2[H])C([H])C([H])C1Cl+[H]OCl->Cl+[H]C1C([H])C(NC(O)N([H])C2C([H])C(Cl)C(Cl)C([H])C2[H])C([H])C([H])C1Cl+[H]O[H],"[('[H][O][Cl]', '[H][O][H]'), ('[H][O][Cl]', '[Cl-]'), ('[H][C]1[C]([H])[C]([N]([H])[C](=[O])[N]([H])[C]2[C]([H])[C]([H])[C]([Cl])[C]([Cl])[C]2[H])[C]([H])[C]([H])[C]1[Cl]', '[H][O][H]'), ('[H][C]1[C]([H])[C]([N]([H])[C](=[O])[N]([H])[C]2[C]([H])[C]([H])[C]([Cl])[C]([Cl])[C]2[H])[C]([H])[C]([H])[C]1[Cl]', '[H][C]1=[C]([H])[C]([N][C](=[O])[N]([H])[C]2[C]([H])=[C]([H])[C]([Cl])[C]([Cl])[C]2[H])[C]([H])[C]([H])[C]1[Cl]')]"
1,[H]OCl->Cl+[H]O,"[('[H][O][Cl]', '[H][O]'), ('[H][O][Cl]', '[Cl]')]"
2,[H]OCl->Cl+[H]O,"[('[H][O][Cl]', '[H][O]'), ('[H][O][Cl]', '[Cl]')]"
3,[H]C1C([H])C(NC(O)N([H])C2C([H])C([H])C(Cl)C(Cl)C2[H])C([H])C([H])C1Cl+[H]O->[H]C1C([H])C(NC(O)NC2C([H])C(Cl)C(Cl)C([H])C2[H])C([H])C([H])C1Cl+[H]O[H],"[('[H][O]', '[H][O][H]'), ('[H][C]1=[C]([H])[C]([N]([H])[C](=[O])[N][C]2[C]([H])[C]([H])[C]([Cl])[C]([H])[C]2[H])[C]([H])[C]([Cl])[C]1[Cl]', '[H][O][H]'), ('[H][C]1=[C]([H])[C]([N]([H])[C](=[O])[N][C]2[C]([H])[C]([H])[C]([Cl])[C]([H])[C]2[H])[C]([H])[C]([Cl])[C]1[Cl]', '[H][C]1=[C]([H])[C]([N][C]([O])[N][C]2[C]([H])=[C]([H])[C]([Cl])[C]([Cl])[C]2[H])[C]([H])[C]([H])[C]1[Cl]')]"
4,[H]OOC(NC1C([H])C([H])C(Cl)C([H])C1[H])NC1C([H])C(Cl)C(Cl)C([H])C1[H]+[H]O[H]->[H]C1C([H])C(NC(O)NC2C([H])C(Cl)C(Cl)C([H])C2[H])C([H])C([H])C1Cl+[H]O+[H]O[H],"[('[H][O]', '[H][O][H]'), ('[H][C]1=[C]([H])[C]([N][C]([O])[N]([H])[C]2[C]([H])=[C]([H])[C]([Cl])[C]([Cl])[C]2[H])[C]([H])[C]([H])[C]1[Cl]', '[H][O][H]'), ('[H][C]1=[C]([H])[C]([N][C]([O])[N]([H])[C]2[C]([H])=[C]([H])[C]([Cl])[C]([Cl])[C]2[H])[C]([H])[C]([H])[C]1[Cl]', '[H][C]1[C]([H])[C]([N][C]([O])[N][C]2[C]([H])[C]([H])[C]([Cl])[C]([Cl])[C]2[H])[C]([H])[C]([H])[C]1[Cl]')]"
5,[H]O+[H]OCl->OCl+[H]O[H],"[('[H][O]', '[H][O][H]'), ('[H][O][Cl]', '[H][O][H]'), ('[H][O][Cl]', '[O][Cl]')]"
6,Cl+[H]C1C([H])C(NC(O)NC2C([H])C(Cl)C(Cl)C([H])C2[H])C([H])C([H])C1Cl->[H]C1C([H])C(NC(O)NC2C([H])C([H])C(Cl)C(Cl)C2([H])Cl)C([H])C([H])C1Cl,"[('[H][C]1=[C]([H])[C]([N][C](=[O])[N][C]2[C]([H])[C]([H])[C]([Cl])[C]([Cl])[C]2[H])[C]([H])[C]([H])[C]1[Cl]', '[H][C]1=[C]([H])[C]([N][C](=[O])[N][C]2[C]([H])[C]([H])[C]([Cl])[C]([Cl])[C]2([H])[Cl])[C]([H])[C]([H])[C]1[Cl]'), ('[Cl]', '[H][C]1=[C]([H])[C]([N][C](=[O])[N][C]2[C]([H])[C]([H])[C]([Cl])[C]([Cl])[C]2([H])[Cl])[C]([H])[C]([H])[C]1[Cl]')]"
7,[H]C1C([H])C(NC(O)NC2C([H])C([H])C(Cl)C(Cl)C2([H])Cl)C([H])C([H])C1Cl->Cl+[H]C1C([H])C(NC(O)NC2C([H])C(Cl)C(Cl)C([H])C2[H])C([H])C([H])C1Cl,"[('[H][C]1=[C]([H])[C]([Cl])[C]([Cl])[C]([H])([Cl])[C]1=[N][C](=[O])[N][C]1[C]([H])=[C]([H])[C]([Cl])[C]([H])[C]1[H]', '[Cl]'), ('[H][C]1=[C]([H])[C]([Cl])[C]([Cl])[C]([H])([Cl])[C]1=[N][C](=[O])[N][C]1[C]([H])=[C]([H])[C]([Cl])[C]([H])[C]1[H]', '[H][C]1=[C]([H])[C]([N][C]([O])[N][C]2[C]([H])[C]([H])[C]([Cl])[C]([Cl])[C]2[H])[C]([H])[C]([H])[C]1[Cl]')]"
8,[H]C1C([H])C(NC(O)NC2C([H])C(Cl)C(Cl)C([H])C2[H])C([H])C([H])C1Cl->[H]C1C([H])C(NC2NC3C([H])C([H])C(Cl)C([H])C3([H])O2)C([H])C(Cl)C1Cl,"[('[H][C]1=[C]([H])[C]([Cl])[C]([H])=[C]([H])[C]1=[N][C]([O])[N][C]1[C]([H])[C]([H])[C]([Cl])[C]([Cl])[C]1[H]', '[H][C]1=[C]([H])[C]2[N][C](=[N][C]3[C]([H])=[C]([Cl])[C]([Cl])[C]([H])[C]3[H])[O][C]2([H])[C]([H])=[C]1[Cl]')]"
9,Cl+[H]C1C(Cl)C(Cl)C([H])C(NC2NC3C([H])C([H])C(Cl)C([H])C3([H])O2)C1[H]->[H]C1C([H])C2C(OC(NC3C([H])C([H])C(Cl)C(Cl)C3[H])N2)C([H])C1Cl+[H]Cl,"[('[H][C]1=[C]([H])[C]2[N][C](=[N][C]3[C]([H])[C]([H])[C]([Cl])[C]([Cl])[C]3[H])[O][C]2([H])[C]([H])=[C]1[Cl]', '[H][C]1=[C]([H])[C]2[N][C]([N][C]3[C]([H])=[C]([H])[C]([Cl])[C]([Cl])[C]3[H])[O][C]2[C]([H])[C]1[Cl]'), ('[H][C]1=[C]([H])[C]2[N][C](=[N][C]3[C]([H])[C]([H])[C]([Cl])[C]([Cl])[C]3[H])[O][C]2([H])[C]([H])=[C]1[Cl]', '[H][Cl]'), ('[Cl]', '[H][Cl]')]"
