,reaction,relation
0,[H]OCl->Cl+[H]O,"[('[H][O][Cl]', '[H][O-]'), ('[H][O][Cl]', '[Cl]')]"
1,[H]C1C([H])C(N([H])C(O)N([H])C2C([H])C([H])C(Cl)C(Cl)C2[H])C([H])C([H])C1Cl+[H]O->[H]C1C([H])C(NC(O)N([H])C2C([H])C([H])C(Cl)C(Cl)C2[H])C([H])C([H])C1Cl+[H]O[H],"[('[H][O]', '[H][O][H]'), ('[H][C]1[C]([H])[C]([N]([H])[C](=[O])[N]([H])[C]2[C]([H])[C]([H])[C]([Cl])[C]([Cl])[C]2[H])[C]([H])[C]([H])[C]1[Cl]', '[H][O][H]'), ('[H][C]1[C]([H])[C]([N]([H])[C](=[O])[N]([H])[C]2[C]([H])[C]([H])[C]([Cl])[C]([Cl])[C]2[H])[C]([H])[C]([H])[C]1[Cl]', '[H][C]1=[C]([H])[C]([N][C](=[O])[N]([H])[C]2[C]([H])[C]([H])[C]([Cl])[C]([Cl])[C]2[H])[C]([H])[C]([H])[C]1[Cl]')]"
2,[H]C1C([H])C(NC(O)N([H])C2C([H])C(Cl)C(Cl)C([H])C2[H])C([H])C([H])C1Cl->[H]C1C([H])C(NCO)C([H])C([H])C1Cl+[H]NC1C([H])C(Cl)C(Cl)C([H])C1[H],"[('[H][C]1=[C]([H])[C]([N]([H])[C](=[O])[N]=[C]2[C]([H])[C]([H])[C]([Cl])[C]([H])[C]2[H])[C]([H])[C]([Cl])[C]1[Cl]', '[H][N][C]1[C]([H])=[C]([H])[C]([Cl])[C]([Cl])[C]1[H]'), ('[H][C]1=[C]([H])[C]([N]([H])[C](=[O])[N]=[C]2[C]([H])[C]([H])[C]([Cl])[C]([H])[C]2[H])[C]([H])[C]([Cl])[C]1[Cl]', '[H][C]1=[C]([H])[C]([N]=[C]=[O])[C]([H])[C]([H])[C]1[Cl]')]"
3,[H]NC1C([H])C(Cl)C(Cl)C([H])C1[H]+[H]OCl->Cl+[H]NC1C([H])C(Cl)C(Cl)C([H])C1([H])O[H],"[('[H][O][Cl]', '[H][N]=[C]1[C]([H])=[C]([Cl])[C]([Cl])=[C]([H])[C]1([H])[O][H]'), ('[H][O][Cl]', '[Cl]'), ('[H][N]=[C]1[C]([H])=[C]([H])[C]([Cl])[C]([Cl])[C]1[H]', '[H][N]=[C]1[C]([H])=[C]([Cl])[C]([Cl])=[C]([H])[C]1([H])[O][H]')]"
4,Cl+[H]NC1C([H])C(Cl)C(Cl)C([H])C1([H])O[H]->[H]NC1C([H])C(Cl)C(Cl)C([H])(Cl)C1([H])O[H],"[('[H][N]=[C]1[C]([H])=[C]([Cl])[C]([Cl])=[C]([H])[C]1([H])[O][H]', '[H][N][C]1[C]([H])[C]([Cl])[C]([Cl])[C]([H])([Cl])[C]1([H])[O][H]'), ('[Cl]', '[H][N][C]1[C]([H])[C]([Cl])[C]([Cl])[C]([H])([Cl])[C]1([H])[O][H]')]"
5,[H]OCl->Cl+[H]O,"[('[H][O][Cl]', '[H][O]'), ('[H][O][Cl]', '[Cl]')]"
6,[H]NC1C([H])C(Cl)C(Cl)C([H])(Cl)C1([H])O[H]->Cl+[H]NC1C([H])C(Cl)C(Cl)C([H])C1([H])O[H],"[('[H][N]=[C]1[C]([H])[C]([Cl])[C]([Cl])[C]([H])([Cl])[C]1([H])[O][H]', '[Cl]'), ('[H][N]=[C]1[C]([H])[C]([Cl])[C]([Cl])[C]([H])([Cl])[C]1([H])[O][H]', '[H][N]=[C]1[C]([H])=[C]([Cl])[C]([Cl])=[C]([H])[C]1([H])[O][H]')]"
7,Cl+Cl->ClCl,"[('[Cl]', '[Cl][Cl]'), ('[Cl]', '[Cl][Cl]')]"
8,Cl+Cl->ClCl,"[('[Cl]', '[Cl][Cl]'), ('[Cl]', '[Cl][Cl]')]"
9,Cl+Cl->ClCl,"[('[Cl]', '[Cl][Cl]'), ('[Cl]', '[Cl][Cl]')]"
