,reaction,relation
10,[H]C1C([H])C(NCO)C([H])C([H])C1Cl+[H]O->[H]OC(O)NC1C([H])C([H])C(Cl)C([H])C1[H],"[('[H][O]', '[H][O][C](=[O])[N][C]1[C]([H])=[C]([H])[C]([Cl])[C]([H])[C]1[H]'), ('[H][C]1=[C]([H])[C]([N]=[C]=[O])[C]([H])[C]([H])[C]1[Cl]', '[H][O][C](=[O])[N][C]1[C]([H])=[C]([H])[C]([Cl])[C]([H])[C]1[H]')]"
11,[H]NC1C([H])C(Cl)C(Cl)C([H])C1([H])O[H]+[H]O[H]->[H]O+[H]OC1([H])C([H])C(Cl)C(Cl)C([H])C1N([H])[H],"[('[H][O][H]', '[H][O]'), ('[H][O][H]', '[H][O][C]1([H])[C]([H])[C]([Cl])[C]([Cl])[C]([H])[C]1[N]([H])[H]'), ('[H][N]=[C]1[C]([H])[C]([Cl])[C]([Cl])=[C]([H])[C]1([H])[O][H]', '[H][O][C]1([H])[C]([H])[C]([Cl])[C]([Cl])[C]([H])[C]1[N]([H])[H]')]"
12,[H]OC(O)NC1C([H])C([H])C(Cl)C([H])(Cl)C1[H]+[H]OC1([H])C([H])C(Cl)C(Cl)C([H])C1N([H])[H]->[H]NC1C([H])C(Cl)C(Cl)C([H])C1([H])O[H]+[H]OC(O)NC1C([H])C([H])C(Cl)C([H])(Cl)C1([H])[H],"[('[H][O][C]1([H])[C]([H])=[C]([Cl])[C]([Cl])[C]([H])[C]1[N]([H])[H]', '[H][O][C](=[O])[N]=[C]1[C]([H])=[C]([H])[C]([Cl])[C]([H])[C]1([H])[H]'), ('[H][O][C]1([H])[C]([H])=[C]([Cl])[C]([Cl])[C]([H])[C]1[N]([H])[H]', '[H][N]=[C]1[C]([H])=[C]([Cl])[C]([Cl])=[C]([H])[C]1([H])[O][H]'), ('[H][O][C](=[O])[N][C]1[C]([H])[C]([H])[C]([Cl])[C]([H])([Cl])[C]1[H]', '[H][O][C](=[O])[N]=[C]1[C]([H])=[C]([H])[C]([Cl])[C]([H])[C]1([H])[H]'), ('[H][O][C](=[O])[N][C]1[C]([H])[C]([H])[C]([Cl])[C]([H])([Cl])[C]1[H]', '[Cl]')]"
13,[H]OC(O)NC1C([H])C([H])C(Cl)C([H])(Cl)C1([H])[H]->Cl+[H]OC(O)NC1C([H])C([H])C(Cl)C([H])C1([H])[H],"[('[H][O][C](=[O])[N]=[C]1[C]([H])[C]([H])[C]([Cl])[C]([H])([Cl])[C]1([H])[H]', '[Cl]'), ('[H][O][C](=[O])[N]=[C]1[C]([H])[C]([H])[C]([Cl])[C]([H])([Cl])[C]1([H])[H]', '[H][O][C](=[O])[N]=[C]1[C]([H])=[C]([H])[C]([Cl])=[C]([H])[C]1([H])[H]')]"
14,Cl+[H]O->[H]OCl,"[('[H][O]', '[H][O][Cl]'), ('[Cl]', '[H][O][Cl]')]"
15,[H]OCl+[H]OCl->Cl+OCl+[H]O[H],"[('[H][O][Cl]', '[H][O][H]'), ('[H][O][Cl]', '[Cl]'), ('[H][O][Cl]', '[H][O][H]'), ('[H][O][Cl]', '[O][Cl]')]"
16,Cl+Cl->ClCl,[]
17,OCl+[H]OC(O)NC1C([H])C([H])C(Cl)C([H])C1([H])[H]->Cl+[H]OC(O)NC1C([H])C([H])C(Cl)C([H])(O)C1([H])[H],"[('[O][Cl]', '[H][O][C](=[O])[N]=[C]1[C]([H])[C]([H])[C]([Cl])[C]([H])([O])[C]1([H])[H]'), ('[O][Cl]', '[Cl]'), ('[H][O][C](=[O])[N]=[C]1[C]([H])=[C]([H])[C]([Cl])=[C]([H])[C]1([H])[H]', '[H][O][C](=[O])[N]=[C]1[C]([H])[C]([H])[C]([Cl])[C]([H])([O])[C]1([H])[H]')]"
18,Cl+[H]OC(O)NC1C([H])C([H])C(Cl)C([H])(O)C1([H])[H]->[H]OC(O)NC12OC([H])(C(Cl)C([H])C1([H])Cl)C2([H])[H],"[('[H][O][C](=[O])[N][C]1[C]([H])[C]([H])[C]([Cl])[C]([H])([O])[C]1([H])[H]', '[H][O][C](=[O])[N][C]12[O][C]([H])([C]([Cl])=[C]([H])[C]1([H])[Cl])[C]2([H])[H]'), ('[Cl]', '[H][O][C](=[O])[N][C]12[O][C]([H])([C]([Cl])=[C]([H])[C]1([H])[Cl])[C]2([H])[H]')]"
19,[H]OC(O)NC12OC([H])(C(Cl)C([H])C1([H])Cl)C2([H])[H]->[H]OC(O)NC1C([H])(Cl)C([H])C(Cl)C([H])(O)C1([H])[H],"[('[H][O][C](=[O])[N][C]12[O][C]([H])([C]([Cl])=[C]([H])[C]1([H])[Cl])[C]2([H])[H]', '[H][O][C](=[O])[N]=[C]1[C]([H])([Cl])[C]([H])=[C]([Cl])[C]([H])([O])[C]1([H])[H]')]"
20,Cl+[H]NCC([H])C(Cl)C(Cl)C([H])C([H])O[H]->[H]NC(Cl)C([H])C(Cl)C(Cl)C([H])C([H])O[H],"[('[H][N]=[C]1[C]([H])=[C]([Cl])[C]([Cl])=[C]([H])[C]1([H])[O][H]', '[H][N]=[C]([Cl])[C]([H])[C]([Cl])[C]([Cl])[C]([H])[C]([H])[O][H]'), ('[Cl]', '[H][N]=[C]([Cl])[C]([H])[C]([Cl])[C]([Cl])[C]([H])[C]([H])[O][H]')]"
