,reaction,relation
0,[H]OCl->Cl+[H]O,"[('[H][O][Cl]', '[H][O]'), ('[H][O][Cl]', '[Cl]')]"
1,[H]C1C([H])C(N([H])C(O)N([H])C2C([H])C([H])C(Cl)C(Cl)C2[H])C([H])C([H])C1Cl+[H]O->[H]C1C([H])C(NC(O)N([H])C2C([H])C([H])C(Cl)C(Cl)C2[H])C([H])C([H])C1Cl+[H]O[H],"[('[H][O]', '[H][O][H]'), ('[H][C]1=[C]([H])[C]([N]([H])[C](=[O])[N]([H])[C]2[C]([H])[C]([H])[C]([Cl])[C]([Cl])[C]2[H])[C]([H])[C]([H])[C]1[Cl]', '[H][O][H]'), ('[H][C]1=[C]([H])[C]([N]([H])[C](=[O])[N]([H])[C]2[C]([H])[C]([H])[C]([Cl])[C]([Cl])[C]2[H])[C]([H])[C]([H])[C]1[Cl]', '[H][C]1[C]([H])[C]([N][C]([O])[N]([H])[C]2[C]([H])[C]([H])[C]([Cl])[C]([Cl])[C]2[H])[C]([H])[C]([H])[C]1[Cl]')]"
2,[H]OCl->Cl+[H]O,"[('[H][O][Cl]', '[H][O]'), ('[H][O][Cl]', '[Cl-]')]"
3,[H]C1C([H])C(NC(O)N([H])C2C([H])C([H])C(Cl)C(Cl)C2[H])C([H])C([H])C1Cl+[H]O->Cl+[H]OC1C([H])C([H])C(NC(O)N([H])C2C([H])C([H])C(Cl)C(Cl)C2[H])C([H])C1[H],"[('[H][O]', '[H][O][C]1[C]([H])=[C]([H])[C]([N][C](=[O])[N]([H])[C]2[C]([H])=[C]([H])[C]([Cl])[C]([Cl])[C]2[H])[C]([H])[C]1[H]'), ('[H][C]1=[C]([H])[C]([N][C](=[O])[N]([H])[C]2[C]([H])[C]([H])[C]([Cl])[C]([Cl])[C]2[H])[C]([H])[C]([H])[C]1[Cl]', '[H][O][C]1[C]([H])=[C]([H])[C]([N][C](=[O])[N]([H])[C]2[C]([H])=[C]([H])[C]([Cl])[C]([Cl])[C]2[H])[C]([H])[C]1[H]'), ('[H][C]1=[C]([H])[C]([N][C](=[O])[N]([H])[C]2[C]([H])[C]([H])[C]([Cl])[C]([Cl])[C]2[H])[C]([H])[C]([H])[C]1[Cl]', '[Cl]')]"
4,[H]OC1C([H])C([H])C(NC(O)N([H])C2C([H])C([H])C(Cl)C(Cl)C2[H])C([H])C1[H]->[H]NC1C([H])C([H])C(Cl)C(Cl)C1[H]+[H]OC1C([H])C([H])C(NCO)C([H])C1[H],"[('[H][O][C]1[C]([H])=[C]([H])[C]([N][C](=[O])[N]([H])[C]2[C]([H])[C]([H])[C]([Cl])[C]([Cl])[C]2[H])[C]([H])[C]1[H]', '[H][N]=[C]1[C]([H])=[C]([H])[C]([Cl])[C]([Cl])[C]1[H]'), ('[H][O][C]1[C]([H])=[C]([H])[C]([N][C](=[O])[N]([H])[C]2[C]([H])[C]([H])[C]([Cl])[C]([Cl])[C]2[H])[C]([H])[C]1[H]', '[H][O][C]1[C]([H])[C]([H])[C]([N]=[C]=[O])[C]([H])[C]1[H]')]"
5,[H]NC1C([H])C([H])C(Cl)C(Cl)C1[H]+[H]OC1C([H])C([H])C(NCO)C([H])C1[H]->[H]OC1C([H])C([H])C(NC(O)N([H])C2C([H])C([H])C(Cl)C(Cl)C2[H])C([H])C1[H],"[('[H][N][C]1[C]([H])[C]([H])[C]([Cl])[C]([Cl])[C]1[H]', '[H][O][C]1[C]([H])=[C]([H])[C]([N][C](=[O])[N]([H])[C]2[C]([H])[C]([H])[C]([Cl])[C]([Cl])[C]2[H])[C]([H])[C]1[H]'), ('[H][O][C]1[C]([H])[C]([H])[C]([N]=[C]=[O])[C]([H])[C]1[H]', '[H][O][C]1[C]([H])=[C]([H])[C]([N][C](=[O])[N]([H])[C]2[C]([H])[C]([H])[C]([Cl])[C]([Cl])[C]2[H])[C]([H])[C]1[H]')]"
6,[H]OCl->Cl+[H]O,"[('[H][O][Cl]', '[H][O]'), ('[H][O][Cl]', '[Cl]')]"
7,[H]O+[H]OC1C([H])C([H])C(NC(O)N([H])C2C([H])C(Cl)C(Cl)C([H])C2[H])C([H])C1[H]->[H]OC1C([H])C([H])C(NC(O)NC2C([H])C([H])C(Cl)C(Cl)C2[H])C([H])C1[H]+[H]O[H],"[('[H][O]', '[H][O][H]'), ('[H][O][C]1[C]([H])[C]([H])[C]([N][C](=[O])[N]([H])[C]2[C]([H])[C]([H])[C]([Cl])[C]([Cl])[C]2[H])[C]([H])[C]1[H]', '[H][O][H]'), ('[H][O][C]1[C]([H])[C]([H])[C]([N][C](=[O])[N]([H])[C]2[C]([H])[C]([H])[C]([Cl])[C]([Cl])[C]2[H])[C]([H])[C]1[H]', '[H][O][C]1[C]([H])=[C]([H])[C]([N][C](=[O])[N]=[C]2[C]([H])=[C]([H])[C]([Cl])[C]([Cl])=[C]2[H])[C]([H])=[C]1[H]')]"
8,[H]OC1C([H])C([H])C(NC(O)NC2C([H])C([H])C(Cl)C(Cl)C2[H])C([H])C1[H]->[H]OC1C([H])C([H])C2NC(NC3C([H])C([H])C(Cl)C(Cl)C3[H])OC2([H])C1[H],"[('[H][O][C]1[C]([H])=[C]([H])[C]([N][C](=[O])[N]=[C]2[C]([H])=[C]([Cl])[C]([Cl])[C]([H])[C]2[H])[C]([H])=[C]1[H]', '[H][O][C]1=[C]([H])[C]2([H])[O][C]([N][C]3[C]([H])[C]([H])[C]([Cl])[C]([Cl])[C]3[H])[N]=[C]2[C]([H])=[C]1[H]')]"
9,Cl+Cl->ClCl,[]
