,reaction,relation
10,Cl+[H]OC1C([H])C([H])C2NC(NC3C([H])C(Cl)C(Cl)C([H])C3[H])OC2([H])C1[H]->[H]C1C([H])C(NC(O)NC2C([H])C([H])C(O)C([H])C2[H])C([H])C(Cl)C1Cl+[H]Cl,"[('[H][O][C]1[C]([H])[C]([H])[C]2[N][C]([N][C]3[C]([H])[C]([H])[C]([Cl])[C]([Cl])[C]3[H])[O][C]2([H])[C]1[H]', '[H][C]1=[C]([H])[C]([N][C](=[O])[N][C]2[C]([H])[C]([H])[C]([Cl])[C]([Cl])[C]2[H])[C]([H])=[C]([H])[C]1=[O]'), ('[H][O][C]1[C]([H])[C]([H])[C]2[N][C]([N][C]3[C]([H])[C]([H])[C]([Cl])[C]([Cl])[C]3[H])[O][C]2([H])[C]1[H]', '[H][Cl]'), ('[Cl]', '[H][Cl]')]"
11,[H]C1C([H])C(NC(O)NC2C([H])C([H])C(O)C([H])C2[H])C([H])C(Cl)C1Cl->[H]C1C([H])C(N2C(O)N2C2C([H])C([H])C(O)C([H])C2[H])C([H])C(Cl)C1Cl,"[('[H][C]1=[C]([H])[C]([N][C](=[O])[N][C]2[C]([H])=[C]([Cl])[C]([Cl])[C]([H])[C]2[H])[C]([H])[C]([H])[C]1=[O]', '[H][C]1=[C]([H])[C]([N]2[C](=[O])[N]2[C]2[C]([H])[C]([H])[C]([Cl])[C]([Cl])[C]2[H])[C]([H])=[C]([H])[C]1=[O]')]"
12,[H]C1C(Cl)C(Cl)C([H])C(N2C(O)N2C2C([H])C([H])C(O)C([H])C2[H])C1[H]->[H]C1C(Cl)C(Cl)C([H])C(NC(O)NC2C([H])C([H])C(O)C([H])C2[H])C1[H],"[('[H][C]1=[C]([H])[C]([N]2[C](=[O])[N]2[C]2[C]([H])[C]([H])[C]([Cl])[C]([Cl])[C]2[H])[C]([H])[C]([H])[C]1=[O]', '[H][C]1=[C]([H])[C](=[N][C]([O])[N][C]2[C]([H])[C]([H])[C]([Cl])[C]([Cl])[C]2[H])[C]([H])=[C]([H])[C]1=[O]')]"
13,[H]C1C(Cl)C(Cl)C([H])C(NC(O)NC2C([H])C([H])C(O)C([H])C2[H])C1[H]+[H]Cl->Cl+[H]OC(NC1C([H])C([H])C(O)C([H])C1[H])NC1C([H])C([H])C(Cl)C(Cl)C1[H],"[('[H][Cl]', '[H][O][C]([N][C]1[C]([H])=[C]([H])[C](=[O])[C]([H])=[C]1[H])[N][C]1[C]([H])[C]([H])[C]([Cl])[C]([Cl])[C]1[H]'), ('[H][Cl]', '[Cl]'), ('[H][C]1=[C]([H])[C](=[N][C](=[O])[N][C]2[C]([H])[C]([H])[C]([Cl])[C]([Cl])[C]2[H])[C]([H])=[C]([H])[C]1=[O]', '[H][O][C]([N][C]1[C]([H])=[C]([H])[C](=[O])[C]([H])=[C]1[H])[N][C]1[C]([H])[C]([H])[C]([Cl])[C]([Cl])[C]1[H]')]"
14,Cl+[H]OC(NC1C([H])C([H])C(Cl)C(Cl)C1[H])NC1C([H])C([H])C(O)C([H])C1[H]->[H]C1C(Cl)C(Cl)C([H])C(N2C(O)NC3C([H])C([H])C(O)C([H])C32[H])C1[H]+[H]Cl,"[('[H][O][C](=[N][C]1[C]([H])=[C]([H])[C](=[O])[C]([H])=[C]1[H])[N][C]1[C]([H])[C]([H])[C]([Cl])[C]([Cl])[C]1[H]', '[H][Cl]'), ('[H][O][C](=[N][C]1[C]([H])=[C]([H])[C](=[O])[C]([H])=[C]1[H])[N][C]1[C]([H])[C]([H])[C]([Cl])[C]([Cl])[C]1[H]', '[H][C]1=[C]([H])[C]2[N][C](=[O])[N]([C]3[C]([H])[C]([H])[C]([Cl])[C]([Cl])[C]3[H])[C]2([H])[C]([H])[C]1[O]'), ('[Cl]', '[H][Cl]')]"
15,[H]C1C([H])C(N2C(O)NC3C([H])C([H])C(O)C([H])C32[H])C([H])C(Cl)C1Cl->[H]C1C([H])C(NC([H])C2([H])C(O)C([H])C([H])C2NCO)C([H])C(Cl)C1Cl,"[('[H][C]1=[C]([H])[C]2[N][C](=[O])[N]([C]3[C]([H])[C]([H])[C]([Cl])[C]([Cl])[C]3[H])[C]2([H])[C]([H])[C]1=[O]', '[H][C](=[N][C]1[C]([H])=[C]([Cl])[C]([Cl])[C]([H])[C]1[H])[C]1([H])[C](=[O])[C]([H])[C]([H])[C]1[N]=[C]=[O]')]"
16,[H]C(NC1C([H])C([H])C(Cl)C(Cl)C1[H])C1([H])C(O)C([H])C([H])C1NCO+[H]Cl->Cl+[H]OC1C([H])C([H])C(NCO)C1([H])C([H])NC1C([H])C([H])C(Cl)C(Cl)C1[H],"[('[H][C](=[N][C]1[C]([H])=[C]([H])[C]([Cl])[C]([Cl])[C]1[H])[C]1([H])[C](=[O])[C]([H])[C]([H])[C]1[N]=[C]=[O]', '[H][O][C]1[C]([H])[C]([H])=[C]([N]=[C]=[O])[C]1([H])[C]([H])=[N][C]1[C]([H])=[C]([Cl])[C]([Cl])[C]([H])[C]1[H]'), ('[H][Cl]', '[H][O][C]1[C]([H])[C]([H])=[C]([N]=[C]=[O])[C]1([H])[C]([H])=[N][C]1[C]([H])=[C]([Cl])[C]([Cl])[C]([H])[C]1[H]'), ('[H][Cl]', '[Cl]')]"
17,Cl+Cl->ClCl,[]
18,[H]OC1C([H])C([H])C(NCO)C1([H])C([H])NC1C([H])C([H])C(Cl)C(Cl)C1[H]->[H]OC1C([H])C([H])C2NC(O)N(C3C([H])C([H])C(Cl)C(Cl)C3[H])C([H])C21[H],[]
19,Cl+[H]OC1C([H])C([H])C2NC(O)N(C3C([H])C(Cl)C(Cl)C([H])C3[H])C([H])C21[H]->[H]OC1(Cl)C([H])C([H])C(NCO)C1([H])C([H])NC1C([H])C(Cl)C(Cl)C([H])C1[H],"[('[H][O][C]1[C]([H])[C]([H])[C]2[N][C](=[O])[N]([C]3[C]([H])[C]([H])[C]([Cl])[C]([Cl])[C]3[H])[C]([H])[C]21[H]', '[H][O][C]1([Cl])[C]([H])[C]([H])[C]([N]=[C]=[O])[C]1([H])[C]([H])=[N][C]1[C]([H])=[C]([H])[C]([Cl])[C]([Cl])[C]1[H]'), ('[Cl]', '[H][O][C]1([Cl])[C]([H])[C]([H])[C]([N]=[C]=[O])[C]1([H])[C]([H])=[N][C]1[C]([H])=[C]([H])[C]([Cl])[C]([Cl])[C]1[H]')]"
20,[H]OC1(Cl)C([H])C([H])C(NCO)C1([H])C([H])NC1C([H])C(Cl)C(Cl)C([H])C1[H]->Cl+[H]OC1C([H])C([H])C(NCO)C1([H])C([H])NC1C([H])C(Cl)C(Cl)C([H])C1[H],"[('[H][O][C]1([Cl])[C]([H])[C]([H])[C]([N]=[C]=[O])[C]1([H])[C]([H])=[N][C]1[C]([H])[C]([H])[C]([Cl])[C]([Cl])[C]1[H]', '[H][O][C]1=[C]([H])[C]([H])=[C]([N]=[C]=[O])[C]1([H])[C]([H])=[N][C]1[C]([H])[C]([H])[C]([Cl])[C]([Cl])[C]1[H]'), ('[H][O][C]1([Cl])[C]([H])[C]([H])[C]([N]=[C]=[O])[C]1([H])[C]([H])=[N][C]1[C]([H])[C]([H])[C]([Cl])[C]([Cl])[C]1[H]', '[Cl]')]"
21,Cl+[H]OC1C([H])C([H])C(NCO)C1([H])C([H])NC1C([H])C(Cl)C(Cl)C([H])C1[H]->[H]Cl+[H]OC1C([H])C([H])C(NCO)C1C([H])NC1C([H])C([H])C(Cl)C(Cl)C1[H],"[('[H][O][C]1[C]([H])[C]([H])[C]([N]=[C]=[O])[C]1([H])[C]([H])=[N][C]1[C]([H])=[C]([H])[C]([Cl])[C]([Cl])[C]1[H]', '[H][O][C]1[C]([H])[C]([H])[C]([N]=[C]=[O])[C]1[C]([H])=[N][C]1[C]([H])[C]([H])[C]([Cl])[C]([Cl])[C]1[H]'), ('[H][O][C]1[C]([H])[C]([H])[C]([N]=[C]=[O])[C]1([H])[C]([H])=[N][C]1[C]([H])=[C]([H])[C]([Cl])[C]([Cl])[C]1[H]', '[H][Cl]'), ('[Cl]', '[H][Cl]')]"
