,reaction,relation
0,[H]C1C([H])C(N([H])C(O)N([H])C2C([H])C(Cl)C(Cl)C([H])C2[H])C([H])C([H])C1Cl+[H]OCl->Cl+[H]C1C([H])C(N([H])C(O)NC2C([H])C(Cl)C(Cl)C([H])C2[H])C([H])C([H])C1Cl+[H]O[H],"[('[H][O][Cl]', '[H][O][H]'), ('[H][O][Cl]', '[Cl]'), ('[H][C]1[C]([H])[C]([N]([H])[C](=[O])[N]([H])[C]2[C]([H])[C]([H])[C]([Cl])[C]([Cl])[C]2[H])[C]([H])[C]([H])[C]1[Cl]', '[H][O][H]'), ('[H][C]1[C]([H])[C]([N]([H])[C](=[O])[N]([H])[C]2[C]([H])[C]([H])[C]([Cl])[C]([Cl])[C]2[H])[C]([H])[C]([H])[C]1[Cl]', '[H][C]1[C]([H])[C]([N]([H])[C](=[O])[N][C]2[C]([H])[C]([H])[C]([Cl])[C]([Cl])[C]2[H])[C]([H])[C]([H])[C]1[Cl]')]"
1,[H]OCl->Cl+[H]O,"[('[H][O][Cl]', '[H][O]'), ('[H][O][Cl]', '[Cl]')]"
2,[H]O+[H]OCl+[H]O[H]->OCl+[H]O[H]+[H]O[H],"[('[H][O][H]', '[H][O][H]'), ('[H][O][H]', '[H][O][H]'), ('[H][O][Cl]', '[H][O][H]'), ('[H][O]', '[H][O][H]'), ('[H][O][Cl]', '[O][Cl]')]"
3,[H]C1C(Cl)C(Cl)C([H])C(NC(O)N([H])C2C([H])C([H])C(Cl)C([H])C2([H])O)C1[H]->[H]NC1C([H])C([H])C(Cl)C([H])C1([H])OC(O)NC1C([H])C([H])C(Cl)C(Cl)C1[H],"[('[H][C]1=[C]([H])[C]([N][C](=[O])[N]([H])[C]2[C]([H])[C]([H])[C]([Cl])=[C]([H])[C]2([H])[O])[C]([H])[C]([Cl])[C]1[Cl]', '[H][N]=[C]1[C]([H])=[C]([H])[C]([Cl])=[C]([H])[C]1([H])[O][C](=[O])[N][C]1[C]([H])=[C]([H])[C]([Cl])[C]([Cl])[C]1[H]')]"
4,[H]NC1C([H])C([H])C(Cl)C([H])C1([H])OC(O)NC1C([H])C(Cl)C(Cl)C([H])C1[H]->[H]C1C(Cl)C(Cl)C([H])C(NCO)C1[H]+[H]NC1C([H])C([H])C(Cl)C([H])C1([H])O,"[('[H][N]=[C]1[C]([H])=[C]([H])[C]([Cl])=[C]([H])[C]1([H])[O][C](=[O])[N][C]1[C]([H])[C]([H])[C]([Cl])[C]([Cl])[C]1[H]', '[H][N]=[C]1[C]([H])=[C]([H])[C]([Cl])=[C]([H])[C]1([H])[O]'), ('[H][N]=[C]1[C]([H])=[C]([H])[C]([Cl])=[C]([H])[C]1([H])[O][C](=[O])[N][C]1[C]([H])[C]([H])[C]([Cl])[C]([Cl])[C]1[H]', '[H][C]1[C]([H])[C]([N]=[C]=[O])[C]([H])[C]([Cl])[C]1[Cl]')]"
5,Cl+Cl->ClCl,"[('[Cl]', '[Cl][Cl]'), ('[Cl]', '[Cl][Cl]')]"
6,[H]NC1C([H])C([H])C(Cl)C([H])C1([H])O->[H]NC1C([H])C([H])C(Cl)C2([H])OC12[H],"[('[H][N]=[C]1[C]([H])[C]([H])[C]([Cl])=[C]([H])[C]1([H])[O]', '[H][N]=[C]1[C]([H])[C]([H])=[C]([Cl])[C]2([H])[O][C]12[H]')]"
