,reaction,relation
0,[H]C1C([H])C(N([H])C(O)N([H])C2C([H])C(Cl)C(Cl)C([H])C2[H])C([H])C([H])C1Cl+[H]OCl->Cl+[H]C1C([H])C(N([H])C(O)NC2C([H])C(Cl)C(Cl)C([H])C2[H])C([H])C([H])C1Cl+[H]O[H],"[('[H][O][Cl]', '[H][O][H]'), ('[H][O][Cl]', '[Cl]'), ('[H][C]1[C]([H])[C]([N]([H])[C](=[O])[N]([H])[C]2[C]([H])[C]([H])[C]([Cl])[C]([Cl])[C]2[H])[C]([H])[C]([H])[C]1[Cl]', '[H][O][H]'), ('[H][C]1[C]([H])[C]([N]([H])[C](=[O])[N]([H])[C]2[C]([H])[C]([H])[C]([Cl])[C]([Cl])[C]2[H])[C]([H])[C]([H])[C]1[Cl]', '[H][C]1=[C]([Cl])[C]([Cl])[C]([H])[C]([H])[C]1[N][C](=[O])[N]([H])[C]1[C]([H])[C]([H])[C]([Cl])[C]([H])[C]1[H]')]"
1,Cl+[H]C1C([H])C(N([H])C(O)NC2C([H])C([H])C(Cl)C(Cl)C2[H])C([H])C([H])C1Cl->[H]C1C([H])C(N([H])C(O)NC2C([H])C([H])C(Cl)C(Cl)C2([H])Cl)C([H])C([H])C1Cl,"[('[H][C]1[C]([H])[C]([N]([H])[C](=[O])[N][C]2[C]([H])[C]([H])[C]([Cl])[C]([Cl])[C]2[H])[C]([H])[C]([H])[C]1[Cl]', '[H][C]1=[C]([H])[C]([Cl])[C]([Cl])[C]([H])([Cl])[C]1=[N][C](=[O])[N]([H])[C]1[C]([H])[C]([H])[C]([Cl])[C]([H])[C]1[H]'), ('[Cl-]', '[H][C]1=[C]([H])[C]([Cl])[C]([Cl])[C]([H])([Cl])[C]1=[N][C](=[O])[N]([H])[C]1[C]([H])[C]([H])[C]([Cl])[C]([H])[C]1[H]')]"
2,[H]OCl+[H]OCl->Cl+OCl+[H]O[H],"[('[H][O][Cl]', '[O][Cl]'), ('[H][O][Cl]', '[H][O][H]'), ('[H][O][Cl]', '[H][O][H]'), ('[H][O][Cl]', '[Cl]')]"
3,[H]C1C([H])C(N([H])C(O)NC2C([H])C([H])C(Cl)C(Cl)C2([H])Cl)C([H])C([H])C1Cl->Cl+[H]C1C([H])C(N([H])C(O)NC2C([H])C([H])C(Cl)C(Cl)C2[H])C([H])C([H])C1Cl,"[('[H][C]1=[C]([H])[C]([N]([H])[C](=[O])[N][C]2[C]([H])[C]([H])[C]([Cl])=[C]([Cl])[C]2([H])[Cl])[C]([H])[C]([H])[C]1[Cl]', '[Cl]'), ('[H][C]1=[C]([H])[C]([N]([H])[C](=[O])[N][C]2[C]([H])[C]([H])[C]([Cl])=[C]([Cl])[C]2([H])[Cl])[C]([H])[C]([H])[C]1[Cl]', '[H][C]1=[C]([H])[C]([N]([H])[C](=[O])[N][C]2[C]([H])[C]([H])[C]([Cl])[C]([Cl])[C]2[H])[C]([H])[C]([H])[C]1[Cl]')]"
4,[H]C1C([H])C(N([H])C(O)NC2C([H])C([H])C(Cl)C(Cl)C2[H])C([H])C([H])C1Cl->[H]C1C(Cl)C(Cl)C([H])C(NCO)C1[H]+[H]NC1C([H])C([H])C(Cl)C([H])C1[H],"[('[H][C]1[C]([H])[C]([N]([H])[C](=[O])[N][C]2[C]([H])[C]([H])[C]([Cl])[C]([Cl])[C]2[H])[C]([H])[C]([H])[C]1[Cl]', '[H][N]=[C]1[C]([H])=[C]([H])[C]([Cl])[C]([H])=[C]1[H]'), ('[H][C]1[C]([H])[C]([N]([H])[C](=[O])[N][C]2[C]([H])[C]([H])[C]([Cl])[C]([Cl])[C]2[H])[C]([H])[C]([H])[C]1[Cl]', '[H][C]1=[C]([H])[C]([N]=[C]=[O])[C]([H])[C]([Cl])[C]1[Cl]')]"
5,OCl+[H]C1C([H])C(NCO)C([H])C(Cl)C1Cl->[H]C1C([H])C(NCO)C([H])(OCl)C(Cl)C1Cl,"[('[O][Cl]', '[H][C]1=[C]([H])[C]([N]=[C]=[O])[C]([H])([O][Cl])[C]([Cl])=[C]1[Cl]'), ('[H][C]1=[C]([H])[C]([N]=[C]=[O])[C]([H])[C]([Cl])[C]1[Cl]', '[H][C]1=[C]([H])[C]([N]=[C]=[O])[C]([H])([O][Cl])[C]([Cl])=[C]1[Cl]')]"
6,[H]C1C(Cl)C(Cl)C([H])(OCl)C(NCO)C1[H]->Cl+[H]C1C([H])C(NCO)C([H])(O)C(Cl)C1Cl,"[('[H][C]1[C]([Cl])=[C]([Cl])[C]([H])([O][Cl])[C]([N]=[C]=[O])[C]1[H]', '[H][C]1[C]([H])[C]([N]=[C]=[O])[C]([H])([O])[C]([Cl])[C]1[Cl]'), ('[H][C]1[C]([Cl])=[C]([Cl])[C]([H])([O][Cl])[C]([N]=[C]=[O])[C]1[H]', '[Cl]')]"
7,[H]C1C([H])C(NCO)C([H])(O)C(Cl)C1Cl->[H]C1C([H])C2NC(O)OC2([H])C(Cl)C1Cl,"[('[H][C]1=[C]([N]=[C]=[O])[C]([H])([O])[C]([Cl])[C]([Cl])[C]1[H]', '[H][C]1=[C]([H])[C]2[N][C](=[O])[O][C]2([H])[C]([Cl])=[C]1[Cl]')]"
8,Cl+[H]NC1C([H])C([H])C(Cl)C([H])C1[H]->[H]NC1C([H])C([H])C(Cl)C([H])C1([H])Cl,"[('[H][N]=[C]1[C]([H])=[C]([H])[C]([Cl])[C]([H])=[C]1[H]', '[H][N]=[C]1[C]([H])=[C]([H])[C]([Cl])=[C]([H])[C]1([H])[Cl]'), ('[Cl]', '[H][N]=[C]1[C]([H])=[C]([H])[C]([Cl])=[C]([H])[C]1([H])[Cl]')]"
9,[H]NC1C([H])C([H])C(Cl)C([H])C1([H])Cl->Cl+[H]NC1C([H])C([H])C(Cl)C([H])C1[H],"[('[H][N]=[C]1[C]([H])=[C]([H])[C]([Cl])=[C]([H])[C]1([H])[Cl]', '[Cl]'), ('[H][N]=[C]1[C]([H])=[C]([H])[C]([Cl])=[C]([H])[C]1([H])[Cl]', '[H][N]=[C]1[C]([H])=[C]([H])[C]([Cl])[C]([H])=[C]1[H]')]"
